;critere;valeurs;nb.rep
1;Accuracy;0.625;1
2;Sensitivity;0.625;1
3;Precision;0.454545454545455;1
4;Accuracy;0.833333333333333;1
5;Sensitivity;0.75;1
6;Precision;0.75;1
7;Accuracy;0.708333333333333;1
8;Sensitivity;0.625;1
9;Precision;0.555555555555555;1
10;Accuracy;0.5;1
11;Sensitivity;0.375;1
12;Precision;0.3;1
13;Accuracy;0.666666666666667;1
14;Sensitivity;0.5;1
15;Precision;0.5;1
16;Accuracy;0.708333333333333;1
17;Sensitivity;0.625;1
18;Precision;0.555555555555555;1
19;Accuracy;0.708333333333333;1
20;Sensitivity;0.625;1
21;Precision;0.555555555555555;1
22;Accuracy;0.708333333333333;1
23;Sensitivity;0.875;1
24;Precision;0.538461538461538;1
25;Accuracy;0.625;1
26;Sensitivity;0.625;1
27;Precision;0.454545454545455;1
28;Accuracy;0.666666666666667;1
29;Sensitivity;0.375;1
30;Precision;0.5;1
31;Accuracy;0.625;1
32;Sensitivity;0.25;1
33;Precision;0.4;1
34;Accuracy;0.708333333333333;1
35;Sensitivity;0.625;1
36;Precision;0.555555555555555;1
37;Accuracy;0.541666666666667;1
38;Sensitivity;0.375;1
39;Precision;0.333333333333333;1
40;Accuracy;0.708333333333333;1
41;Sensitivity;0.75;1
42;Precision;0.545454545454545;1
43;Accuracy;0.583333333333333;1
44;Sensitivity;0.375;1
45;Precision;0.375;1
46;Accuracy;0.5;1
47;Sensitivity;0.375;1
48;Precision;0.3;1
49;Accuracy;0.583333333333333;1
50;Sensitivity;0.625;1
51;Precision;0.416666666666667;1
52;Accuracy;0.75;1
53;Sensitivity;0.375;1
54;Precision;0.75;1
55;Accuracy;0.75;1
56;Sensitivity;0.625;1
57;Precision;0.625;1
58;Accuracy;0.541666666666667;1
59;Sensitivity;0.625;1
60;Precision;0.384615384615385;1
61;Accuracy;0.625;1
62;Sensitivity;0.5;1
63;Precision;0.444444444444444;1
64;Accuracy;0.708333333333333;1
65;Sensitivity;0.75;1
66;Precision;0.545454545454545;1
67;Accuracy;0.791666666666667;1
68;Sensitivity;0.75;1
69;Precision;0.666666666666667;1
70;Accuracy;0.625;1
71;Sensitivity;0.75;1
72;Precision;0.461538461538461;1
73;Accuracy;0.416666666666667;1
74;Sensitivity;0.375;1
75;Precision;0.25;1
76;Accuracy;0.5;1
77;Sensitivity;0.25;1
78;Precision;0.25;1
79;Accuracy;0.791666666666667;1
80;Sensitivity;0.875;1
81;Precision;0.636363636363636;1
82;Accuracy;0.666666666666667;1
83;Sensitivity;0.5;1
84;Precision;0.5;1
85;Accuracy;0.583333333333333;1
86;Sensitivity;0.375;1
87;Precision;0.375;1
88;Accuracy;0.583333333333333;1
89;Sensitivity;0.5;1
90;Precision;0.4;1
91;Accuracy;0.708333333333333;1
92;Sensitivity;0.625;1
93;Precision;0.555555555555555;1
94;Accuracy;0.75;1
95;Sensitivity;0.625;1
96;Precision;0.625;1
97;Accuracy;0.791666666666667;1
