critere;moyenne;et;mediane;nb.rep
Accuracy;0.782307692307692;0.0346423533034396;0.778846153846154;1
Sensitivity;0.894583333333333;0.0385878499803435;0.902777777777778;1
Precision;0.811581163566181;0.0289433281931731;0.812132352941176;1
Accuracy1;0.791826923076923;0.0333191818176077;0.793269230769231;2
Sensitivity1;0.895694444444444;0.0337039233907074;0.902777777777778;2
Precision1;0.821164995155526;0.0291198343797769;0.82051282051282;2
Accuracy2;0.800480769230769;0.0308751273573273;0.798076923076923;3
Sensitivity2;0.906527777777778;0.0330830837284128;0.902777777777778;3
Precision2;0.824119752137912;0.0277319323257942;0.819978632478632;3
Accuracy3;0.800865384615385;0.0340379347541974;0.807692307692308;4
Sensitivity3;0.905694444444444;0.038999711821178;0.916666666666667;4
Precision3;0.825324423341145;0.031088710431816;0.825;4
Accuracy4;0.812980769230769;0.0324386555946082;0.817307692307692;5
Sensitivity4;0.916527777777778;0.0392089900356209;0.916666666666667;5
Precision4;0.831474450540777;0.0249674099486006;0.829268292682927;5
Accuracy5;0.811346153846154;0.0324503132784413;0.817307692307692;6
Sensitivity5;0.924861111111111;0.0330972160112331;0.930555555555556;6
Precision5;0.824938881570287;0.0271433740878752;0.823157110945644;6
